area_type,availability,location,size,society,total_sqft,bath,balcony,price
Plot  Area,Immediate Possession,Koramangala,2 Bedroom,Society D,1276,5,2,10233.4
Plot  Area,Under Construction,Indira Nagar,1 Bedroom,Society C,1149,2,2,6314.03
Plot  Area,Ready To Move,Koramangala,4 Bedroom,Society A,1680,1,0,10475.51
Super built-up  Area,Immediate Possession,Whitefield,5 BHK,Society A,1344,1,0,5885.06
Carpet  Area,Ready To Move,Jayanagar,2 BHK,Society D,716,2,1,3983.79
Built-up  Area,Immediate Possession,BTM Layout,3 BHK,Society D,1271,3,1,7243.34
Carpet  Area,Ready To Move,BTM Layout,2 Bedroom,Society D,931,4,1,5297.31
Super built-up  Area,Under Construction,HSR Layout,5 Bedroom,Society B,1883,4,2,14552.43
Plot  Area,Under Construction,Koramangala,4 BHK,Society D,1179,3,0,9416.94
Built-up  Area,Ready To Move,Whitefield,1 BHK,Society E,1598,5,1,10416.02
Carpet  Area,Ready To Move,Jayanagar,4 Bedroom,Society B,1432,4,1,10949.61
Carpet  Area,Immediate Possession,Marathahalli,4 Bedroom,Society A,923,2,1,4969.46
Plot  Area,Ready To Move,Jayanagar,2 Bedroom,Society D,997,5,2,6544.73
Super built-up  Area,Immediate Possession,Indira Nagar,1 Bedroom,Society C,1186,2,0,9995.26
Carpet  Area,Immediate Possession,BTM Layout,4 Bedroom,Society C,1589,4,1,12367.33
Plot  Area,Under Construction,Koramangala,3 Bedroom,Society D,1030,4,2,6132.5
Super built-up  Area,Under Construction,Marathahalli,2 Bedroom,Society C,988,3,3,4045.07
Carpet  Area,Immediate Possession,Jayanagar,3 Bedroom,Society E,1377,5,2,12457.3
Built-up  Area,Immediate Possession,Electronic City,2 Bedroom,Society D,823,2,0,4130.95
Plot  Area,Ready To Move,HSR Layout,1 BHK,Society E,606,1,2,3490.44
Built-up  Area,Ready To Move,Jayanagar,1 BHK,Society B,817,3,3,4686.15
Built-up  Area,Immediate Possession,Indira Nagar,5 BHK,Society D,1853,2,2,11268.51
Built-up  Area,Under Construction,Marathahalli,2 BHK,Society A,944,1,3,4607.58
Plot  Area,Immediate Possession,Jayanagar,5 BHK,Society B,1133,4,1,7369.37
Super built-up  Area,Under Construction,Indira Nagar,2 Bedroom,Society B,1255,3,0,8220.18
Plot  Area,Immediate Possession,BTM Layout,2 BHK,Society D,1510,3,1,10326.36
Plot  Area,Immediate Possession,BTM Layout,4 BHK,Society A,1646,3,2,12400.03
Plot  Area,Under Construction,Electronic City,5 BHK,Society C,1031,3,2,3630.25
Built-up  Area,Under Construction,Indira Nagar,1 Bedroom,Society C,1165,1,3,9000.18
Super built-up  Area,Immediate Possession,BTM Layout,3 Bedroom,Society B,1675,4,1,9159.21
Super built-up  Area,Immediate Possession,HSR Layout,1 Bedroom,Society B,1155,2,2,7088.11
Super built-up  Area,Immediate Possession,Marathahalli,2 Bedroom,Society B,818,1,3,3822.74
Plot  Area,Under Construction,BTM Layout,2 BHK,Society A,1266,3,0,8904.69
Carpet  Area,Immediate Possession,Koramangala,3 BHK,Society D,816,4,0,7411.3
Built-up  Area,Ready To Move,Indira Nagar,1 BHK,Society A,883,5,0,8465.16
Plot  Area,Ready To Move,HSR Layout,3 Bedroom,Society C,903,5,1,6141.73
Carpet  Area,Ready To Move,Koramangala,2 Bedroom,Society C,976,5,0,10142.91
Built-up  Area,Immediate Possession,HSR Layout,2 BHK,Society E,1372,1,3,9868.48
Carpet  Area,Ready To Move,HSR Layout,3 BHK,Society D,810,1,1,6729.35
Plot  Area,Ready To Move,Koramangala,4 BHK,Society D,1022,2,1,9335.93
Plot  Area,Under Construction,Jayanagar,5 Bedroom,Society B,1033,5,1,6053.7
Carpet  Area,Ready To Move,Jayanagar,1 Bedroom,Society B,1581,3,1,11226.18
Carpet  Area,Ready To Move,Electronic City,4 BHK,Society D,1734,3,1,9066.06
Super built-up  Area,Under Construction,Electronic City,3 BHK,Society B,1320,4,2,4451.42
Super built-up  Area,Ready To Move,Marathahalli,5 Bedroom,Society A,1386,4,0,5766.59
Super built-up  Area,Ready To Move,Indira Nagar,3 BHK,Society B,1539,5,3,13258.46
Built-up  Area,Under Construction,Electronic City,2 Bedroom,Society E,1131,5,3,6151.23
Built-up  Area,Under Construction,HSR Layout,2 Bedroom,Society E,1666,4,2,11396.84
Super built-up  Area,Immediate Possession,HSR Layout,1 BHK,Society E,1396,1,1,9764.15
Carpet  Area,Immediate Possession,BTM Layout,3 Bedroom,Society B,967,2,2,5886.86
Built-up  Area,Under Construction,HSR Layout,3 Bedroom,Society B,952,5,3,4405.42
Plot  Area,Ready To Move,Jayanagar,1 BHK,Society C,1195,5,3,7392.31
Built-up  Area,Under Construction,Koramangala,2 BHK,Society B,958,4,2,8995.87
Plot  Area,Under Construction,HSR Layout,3 BHK,Society E,816,1,0,4367.42
Plot  Area,Under Construction,BTM Layout,1 Bedroom,Society B,1325,4,2,6673.63
Super built-up  Area,Ready To Move,Whitefield,2 Bedroom,Society B,1374,1,3,9460.92
Plot  Area,Under Construction,Jayanagar,4 BHK,Society E,1369,5,1,10875.75
Super built-up  Area,Ready To Move,HSR Layout,2 Bedroom,Society D,1409,2,0,11461.11
Plot  Area,Ready To Move,Indira Nagar,5 BHK,Society D,1638,3,0,11386.67
Super built-up  Area,Immediate Possession,BTM Layout,5 Bedroom,Society A,1872,1,0,11887.81
Built-up  Area,Ready To Move,HSR Layout,4 BHK,Society D,924,2,0,4966.88
Super built-up  Area,Ready To Move,Koramangala,4 BHK,Society A,1879,4,1,16012.86
Carpet  Area,Under Construction,BTM Layout,2 Bedroom,Society B,1616,4,1,12102.75
Super built-up  Area,Under Construction,BTM Layout,3 Bedroom,Society B,1639,4,0,7533.51
Super built-up  Area,Ready To Move,Koramangala,2 Bedroom,Society A,877,1,2,5505.98
Plot  Area,Under Construction,Indira Nagar,1 Bedroom,Society E,1431,5,0,10752.36
Plot  Area,Ready To Move,Whitefield,2 Bedroom,Society C,1328,4,3,5490.24
Plot  Area,Ready To Move,Marathahalli,5 BHK,Society D,1534,2,1,9314.23
Plot  Area,Ready To Move,HSR Layout,4 BHK,Society D,1159,1,0,8776.37
Super built-up  Area,Ready To Move,BTM Layout,4 Bedroom,Society C,1212,3,1,9408.68
Plot  Area,Under Construction,BTM Layout,4 BHK,Society B,1106,2,1,7207.75
Super built-up  Area,Ready To Move,Electronic City,1 BHK,Society C,874,5,1,3726.64
Super built-up  Area,Immediate Possession,Marathahalli,5 Bedroom,Society C,1303,2,1,5196.72
Super built-up  Area,Ready To Move,Koramangala,1 Bedroom,Society C,1246,2,2,10127.62
Carpet  Area,Ready To Move,Whitefield,2 Bedroom,Society E,1573,2,3,9112.83
Super built-up  Area,Under Construction,Marathahalli,4 BHK,Society E,1781,4,2,9790.04
Super built-up  Area,Immediate Possession,HSR Layout,3 Bedroom,Society C,1067,5,2,8055.33
Super built-up  Area,Immediate Possession,BTM Layout,2 BHK,Society B,712,3,0,3563.83
Built-up  Area,Immediate Possession,Indira Nagar,3 BHK,Society A,1476,5,0,12278.94
Built-up  Area,Ready To Move,HSR Layout,1 Bedroom,Society E,955,4,3,5733.18
Carpet  Area,Ready To Move,Electronic City,4 Bedroom,Society C,1818,4,0,6925.3
Super built-up  Area,Ready To Move,Whitefield,4 Bedroom,Society C,1488,4,1,8535.82
Plot  Area,Immediate Possession,HSR Layout,4 Bedroom,Society E,1421,4,1,11891.81
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Society E,1181,5,3,6412.91
Carpet  Area,Under Construction,Jayanagar,4 Bedroom,Society D,1232,1,1,9119.76
Carpet  Area,Immediate Possession,Jayanagar,4 BHK,Society C,1281,2,0,8946.59
Carpet  Area,Ready To Move,Jayanagar,1 BHK,Society D,1071,4,1,6685.3
Plot  Area,Ready To Move,HSR Layout,3 BHK,Society C,1258,1,1,5767.47
Carpet  Area,Immediate Possession,Whitefield,3 Bedroom,Society D,1150,1,3,6534.69
Built-up  Area,Under Construction,Electronic City,2 Bedroom,Society C,1687,4,1,6752.5
Plot  Area,Immediate Possession,Jayanagar,4 Bedroom,Society C,993,4,2,7907.39
Super built-up  Area,Ready To Move,Koramangala,5 Bedroom,Society D,1422,3,0,12680.54
Super built-up  Area,Ready To Move,BTM Layout,1 Bedroom,Society A,1201,5,2,7738.48
Built-up  Area,Under Construction,Koramangala,5 Bedroom,Society D,1035,2,1,10449.33
Plot  Area,Ready To Move,Koramangala,1 Bedroom,Society D,971,5,3,7253.48
Carpet  Area,Immediate Possession,Electronic City,3 Bedroom,Society A,1103,2,3,5206.26
Plot  Area,Immediate Possession,Marathahalli,3 Bedroom,Society E,924,4,3,4121.47
Built-up  Area,Under Construction,HSR Layout,5 Bedroom,Society D,1782,2,1,12878.31
Super built-up  Area,Ready To Move,Electronic City,3 BHK,Society B,1161,2,0,4745.62
Plot  Area,Ready To Move,BTM Layout,3 BHK,Society E,1230,3,2,5918.06
Plot  Area,Immediate Possession,HSR Layout,2 BHK,Society C,1236,1,0,8612.86
Built-up  Area,Under Construction,Electronic City,5 Bedroom,Society C,1037,5,0,4002.29
Super built-up  Area,Under Construction,Marathahalli,2 BHK,Society A,1585,1,1,6882.49
Carpet  Area,Under Construction,Indira Nagar,4 Bedroom,Society E,1803,3,2,16876.56
Plot  Area,Immediate Possession,Jayanagar,5 Bedroom,Society A,1787,5,1,11681.16
Plot  Area,Immediate Possession,HSR Layout,4 Bedroom,Society A,1832,4,3,12904.32
Carpet  Area,Under Construction,HSR Layout,1 Bedroom,Society E,627,3,2,5068.27
Carpet  Area,Ready To Move,Indira Nagar,5 BHK,Society D,1241,5,0,10981.14
Built-up  Area,Immediate Possession,Whitefield,5 BHK,Society E,1912,1,0,13585.5
Plot  Area,Under Construction,HSR Layout,2 Bedroom,Society D,1460,4,2,7562.09
Carpet  Area,Ready To Move,Electronic City,5 BHK,Society C,1488,3,1,5694.8
Super built-up  Area,Ready To Move,Jayanagar,3 BHK,Society D,1122,5,0,5802.41
Carpet  Area,Ready To Move,Whitefield,5 Bedroom,Society C,1993,3,1,8223.18
Plot  Area,Under Construction,Electronic City,5 BHK,Society E,1838,1,2,7537.3
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Society D,1839,2,3,13114.42
Plot  Area,Immediate Possession,Whitefield,2 BHK,Society C,1356,4,3,5574.99
Super built-up  Area,Immediate Possession,Indira Nagar,5 BHK,Society B,1351,3,2,12669.26
Plot  Area,Ready To Move,Jayanagar,5 Bedroom,Society D,1356,1,3,7485.81
Carpet  Area,Immediate Possession,Jayanagar,2 Bedroom,Society C,721,1,0,5578.74
Plot  Area,Ready To Move,Electronic City,4 BHK,Society A,1193,3,2,6369.39
Plot  Area,Immediate Possession,Marathahalli,1 Bedroom,Society E,916,3,0,4639.83
Carpet  Area,Immediate Possession,Electronic City,5 Bedroom,Society E,1968,2,1,10986.29
Super built-up  Area,Ready To Move,Marathahalli,2 Bedroom,Society D,744,5,3,4389.55
Built-up  Area,Ready To Move,Marathahalli,3 Bedroom,Society B,935,5,1,4298.22
Super built-up  Area,Ready To Move,Marathahalli,1 Bedroom,Society A,1413,4,1,5539.98
Built-up  Area,Ready To Move,Koramangala,3 BHK,Society E,1262,1,0,8019.95
Built-up  Area,Ready To Move,Electronic City,2 BHK,Society C,1358,2,3,4580.93
Carpet  Area,Immediate Possession,BTM Layout,2 BHK,Society D,1362,2,0,6460.61
Built-up  Area,Under Construction,Whitefield,5 Bedroom,Society E,1918,2,2,13306.31
Built-up  Area,Ready To Move,Indira Nagar,1 BHK,Society C,803,2,1,6606.79
Carpet  Area,Ready To Move,Whitefield,5 BHK,Society D,1693,2,0,9279.51
Plot  Area,Under Construction,HSR Layout,4 BHK,Society E,1147,1,3,9064.4
Plot  Area,Under Construction,Jayanagar,1 Bedroom,Society D,1445,5,3,8071.68
Plot  Area,Immediate Possession,Koramangala,3 BHK,Society B,1074,1,2,9607.81
Built-up  Area,Ready To Move,HSR Layout,3 BHK,Society E,1715,1,2,11701.13
Carpet  Area,Ready To Move,Jayanagar,4 Bedroom,Society D,1458,5,2,9737.27
Super built-up  Area,Ready To Move,Electronic City,3 BHK,Society D,1374,3,1,5833.41
Super built-up  Area,Immediate Possession,Koramangala,1 Bedroom,Society C,1355,2,0,8444.65
Plot  Area,Immediate Possession,Indira Nagar,2 Bedroom,Society B,854,1,0,8191.6
Built-up  Area,Immediate Possession,Jayanagar,1 Bedroom,Society A,1212,5,0,8165.33
Built-up  Area,Immediate Possession,Marathahalli,1 Bedroom,Society B,638,3,2,2699.73
Carpet  Area,Immediate Possession,HSR Layout,5 BHK,Society B,1616,5,3,10504.97
Built-up  Area,Ready To Move,Marathahalli,4 BHK,Society D,1595,3,0,10338.57
Carpet  Area,Ready To Move,BTM Layout,2 Bedroom,Society D,1242,5,0,7128.6
Plot  Area,Ready To Move,Jayanagar,1 BHK,Society C,679,2,0,5428.25
Built-up  Area,Under Construction,Marathahalli,2 BHK,Society D,1373,3,0,5182.65
Built-up  Area,Ready To Move,Jayanagar,4 BHK,Society A,1439,1,3,8777.41
Plot  Area,Under Construction,Marathahalli,5 Bedroom,Society E,1679,1,2,10447.9
Plot  Area,Under Construction,BTM Layout,5 Bedroom,Society C,1429,4,0,7515.0
Carpet  Area,Ready To Move,Whitefield,4 BHK,Society D,960,1,0,5687.88
Plot  Area,Ready To Move,Indira Nagar,5 Bedroom,Society C,1902,2,1,15584.11
Built-up  Area,Under Construction,Indira Nagar,2 BHK,Society B,1334,3,2,10297.44
Plot  Area,Ready To Move,HSR Layout,1 Bedroom,Society A,1070,1,3,6680.87
Plot  Area,Ready To Move,Indira Nagar,4 Bedroom,Society D,1160,2,2,9194.46
Super built-up  Area,Ready To Move,Whitefield,1 Bedroom,Society B,1480,2,1,8695.5
Super built-up  Area,Immediate Possession,BTM Layout,4 Bedroom,Society A,901,2,0,4986.81
Super built-up  Area,Under Construction,Indira Nagar,2 Bedroom,Society D,1539,1,0,11844.41
Plot  Area,Under Construction,Jayanagar,2 BHK,Society B,855,2,0,6656.06
Plot  Area,Ready To Move,Jayanagar,5 BHK,Society D,1130,3,2,6454.95
Plot  Area,Under Construction,Marathahalli,3 Bedroom,Society E,961,5,3,4345.74
Built-up  Area,Immediate Possession,Electronic City,1 Bedroom,Society A,1464,2,3,7263.8
Built-up  Area,Ready To Move,BTM Layout,5 BHK,Society E,1802,4,2,9527.51
Plot  Area,Immediate Possession,HSR Layout,4 BHK,Society B,1673,1,0,11462.08
Built-up  Area,Immediate Possession,HSR Layout,2 BHK,Society D,1538,3,3,12683.7
Plot  Area,Immediate Possession,Koramangala,1 BHK,Society A,1077,3,0,6348.77
Carpet  Area,Ready To Move,Indira Nagar,1 Bedroom,Society B,1597,3,2,8525.12
Super built-up  Area,Immediate Possession,Koramangala,2 BHK,Society B,822,4,1,7964.62
Super built-up  Area,Immediate Possession,Electronic City,2 Bedroom,Society C,772,4,2,3045.93
Super built-up  Area,Ready To Move,Indira Nagar,5 BHK,Society E,1514,2,2,10115.84
Plot  Area,Under Construction,Jayanagar,1 Bedroom,Society A,1223,4,0,9247.15
Super built-up  Area,Ready To Move,Electronic City,1 BHK,Society E,1029,1,0,5599.21
Carpet  Area,Ready To Move,Marathahalli,3 Bedroom,Society E,814,4,1,4131.42
Plot  Area,Under Construction,Electronic City,1 Bedroom,Society D,1324,2,1,5960.84
Super built-up  Area,Ready To Move,Marathahalli,4 Bedroom,Society C,1489,4,3,9200.21
Carpet  Area,Immediate Possession,Electronic City,1 BHK,Society D,1480,2,2,6592.56
Plot  Area,Immediate Possession,HSR Layout,3 Bedroom,Society D,1655,5,1,13518.55
Plot  Area,Under Construction,Whitefield,1 BHK,Society E,976,5,0,6956.96
Super built-up  Area,Ready To Move,Whitefield,1 Bedroom,Society D,714,5,3,4374.86
Built-up  Area,Under Construction,Jayanagar,3 Bedroom,Society E,1449,1,0,10558.13
Plot  Area,Under Construction,Electronic City,1 Bedroom,Society D,754,4,1,3643.95
Carpet  Area,Under Construction,Whitefield,5 Bedroom,Society D,1969,4,2,11757.18
Super built-up  Area,Under Construction,Marathahalli,1 BHK,Society E,898,5,3,5107.49
Super built-up  Area,Immediate Possession,Koramangala,1 Bedroom,Society B,1189,3,1,7595.9
Built-up  Area,Immediate Possession,Marathahalli,3 BHK,Society E,1111,3,0,5394.44
Built-up  Area,Ready To Move,Indira Nagar,5 Bedroom,Society D,1907,2,0,11303.36
Super built-up  Area,Under Construction,HSR Layout,5 Bedroom,Society C,1176,4,0,8486.96
Plot  Area,Ready To Move,Electronic City,5 Bedroom,Society A,1039,3,1,5290.33
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,Society B,951,3,1,6143.86
Plot  Area,Under Construction,Marathahalli,1 BHK,Society E,1061,5,3,4968.13
Built-up  Area,Immediate Possession,Indira Nagar,2 Bedroom,Society B,1417,2,0,9207.23
Built-up  Area,Ready To Move,HSR Layout,4 Bedroom,Society D,1042,3,2,5328.7
Carpet  Area,Under Construction,Koramangala,4 BHK,Society B,1275,5,2,9005.19
Carpet  Area,Ready To Move,Jayanagar,3 Bedroom,Society C,1657,4,2,13336.77
Built-up  Area,Ready To Move,BTM Layout,5 Bedroom,Society C,1138,5,2,6191.71
Built-up  Area,Under Construction,Whitefield,3 BHK,Society B,1200,3,3,5363.26
Plot  Area,Under Construction,Marathahalli,3 BHK,Society D,1796,5,1,6326.39
Plot  Area,Immediate Possession,Marathahalli,5 Bedroom,Society D,1768,5,2,8956.42
Super built-up  Area,Immediate Possession,HSR Layout,2 BHK,Society E,1362,3,2,7408.14
Plot  Area,Immediate Possession,Whitefield,4 Bedroom,Society D,1833,2,3,9924.08
Plot  Area,Under Construction,BTM Layout,3 Bedroom,Society A,1754,1,2,7636.24
Carpet  Area,Under Construction,HSR Layout,2 Bedroom,Society B,1439,4,2,11868.5
Built-up  Area,Immediate Possession,Indira Nagar,2 Bedroom,Society E,1476,1,3,12226.95
Built-up  Area,Under Construction,Marathahalli,5 BHK,Society A,1344,3,2,7178.51
Super built-up  Area,Ready To Move,Whitefield,3 Bedroom,Society D,984,4,2,4806.39
Super built-up  Area,Immediate Possession,Indira Nagar,4 BHK,Society D,1105,2,2,9221.71
Built-up  Area,Immediate Possession,BTM Layout,2 BHK,Society C,1465,3,1,6956.74
Carpet  Area,Immediate Possession,Marathahalli,5 BHK,Society E,1060,5,3,5628.43
Built-up  Area,Under Construction,HSR Layout,4 Bedroom,Society E,1086,1,2,8971.92
Built-up  Area,Under Construction,Indira Nagar,2 Bedroom,Society A,807,1,2,6239.35
Built-up  Area,Under Construction,Jayanagar,2 Bedroom,Society B,972,4,1,5618.31
Plot  Area,Under Construction,Marathahalli,5 BHK,Society E,1829,1,2,9856.77
Built-up  Area,Ready To Move,BTM Layout,1 Bedroom,Society C,1267,3,2,5550.72
Super built-up  Area,Under Construction,Whitefield,3 BHK,Society C,991,2,2,5366.05
Plot  Area,Under Construction,Marathahalli,2 BHK,Society A,1616,5,3,10361.08
Built-up  Area,Under Construction,BTM Layout,3 Bedroom,Society D,1601,4,2,10178.75
Carpet  Area,Under Construction,Marathahalli,4 BHK,Society B,1267,3,3,5698.86
Super built-up  Area,Under Construction,Electronic City,2 BHK,Society C,891,3,0,4632.17
Built-up  Area,Immediate Possession,BTM Layout,5 BHK,Society C,1961,1,0,12293.69
Super built-up  Area,Immediate Possession,Electronic City,1 Bedroom,Society D,1200,4,0,6288.66
Super built-up  Area,Immediate Possession,Koramangala,3 BHK,Society C,1468,1,3,10717.06
Super built-up  Area,Under Construction,Whitefield,3 BHK,Society E,1426,1,2,6927.18
Super built-up  Area,Under Construction,Whitefield,2 BHK,Society A,1272,3,1,7579.39
Built-up  Area,Under Construction,HSR Layout,3 Bedroom,Society D,1721,5,2,14426.57
Super built-up  Area,Under Construction,Koramangala,4 BHK,Society A,1551,4,0,12410.77
Super built-up  Area,Under Construction,Jayanagar,2 Bedroom,Society C,1027,3,2,6955.17
Built-up  Area,Ready To Move,BTM Layout,1 Bedroom,Society D,1189,4,2,8066.51
Super built-up  Area,Under Construction,Electronic City,2 BHK,Society A,1282,4,2,7085.94
Super built-up  Area,Under Construction,Electronic City,1 BHK,Society E,762,5,2,4228.45
Built-up  Area,Under Construction,BTM Layout,1 Bedroom,Society E,691,2,3,3666.05
Plot  Area,Immediate Possession,Koramangala,3 BHK,Society A,857,2,0,4869.39
Carpet  Area,Ready To Move,HSR Layout,1 Bedroom,Society E,1065,1,0,5686.39
Super built-up  Area,Ready To Move,Marathahalli,3 Bedroom,Society D,1257,2,0,6293.24
Built-up  Area,Immediate Possession,BTM Layout,4 Bedroom,Society E,1650,2,0,10487.78
Super built-up  Area,Ready To Move,Jayanagar,1 Bedroom,Society A,601,5,0,5097.32
Super built-up  Area,Immediate Possession,Koramangala,3 BHK,Society B,1480,1,1,9357.33
Carpet  Area,Immediate Possession,HSR Layout,2 Bedroom,Society D,1142,5,1,9295.45
Built-up  Area,Under Construction,Whitefield,4 Bedroom,Society C,1722,4,3,7586.69
Carpet  Area,Immediate Possession,Electronic City,5 Bedroom,Society D,1028,1,0,4750.21
Super built-up  Area,Immediate Possession,Marathahalli,4 BHK,Society E,1049,1,1,6339.23
Carpet  Area,Ready To Move,Jayanagar,4 Bedroom,Society E,1331,5,0,12100.62
Plot  Area,Ready To Move,HSR Layout,2 Bedroom,Society A,1563,2,2,13129.93
Plot  Area,Under Construction,Indira Nagar,4 Bedroom,Society E,1617,4,2,10124.73
Carpet  Area,Immediate Possession,Electronic City,4 BHK,Society C,1200,3,0,5806.11
Built-up  Area,Immediate Possession,Marathahalli,2 BHK,Society D,702,1,1,4270.43
Built-up  Area,Ready To Move,Whitefield,1 BHK,Society C,1193,2,1,5323.08
Built-up  Area,Under Construction,Marathahalli,3 Bedroom,Society C,1756,1,2,11344.43
Carpet  Area,Ready To Move,HSR Layout,3 Bedroom,Society D,1689,4,1,12236.54
Built-up  Area,Under Construction,BTM Layout,1 BHK,Society C,1476,4,3,10955.47
Super built-up  Area,Immediate Possession,Electronic City,2 Bedroom,Society D,797,5,1,4233.22
Carpet  Area,Under Construction,Electronic City,5 Bedroom,Society C,1755,3,2,6158.37
Super built-up  Area,Immediate Possession,Marathahalli,4 Bedroom,Society A,965,4,0,6121.1
Super built-up  Area,Under Construction,HSR Layout,5 Bedroom,Society E,1833,1,2,8840.68
Plot  Area,Ready To Move,BTM Layout,2 Bedroom,Society E,1367,2,3,9078.16
Super built-up  Area,Ready To Move,Whitefield,3 Bedroom,Society A,1114,2,2,6375.55
Plot  Area,Ready To Move,Koramangala,4 Bedroom,Society B,940,4,1,8646.83
Built-up  Area,Ready To Move,Koramangala,4 Bedroom,Society D,1210,4,3,10584.74
Built-up  Area,Under Construction,Koramangala,2 Bedroom,Society C,1393,2,0,12703.32
Super built-up  Area,Ready To Move,Jayanagar,5 BHK,Society B,1073,2,3,6907.11
Carpet  Area,Immediate Possession,HSR Layout,2 BHK,Society A,869,2,2,4392.42
Carpet  Area,Ready To Move,HSR Layout,1 BHK,Society E,1070,4,2,6291.27
Plot  Area,Ready To Move,Jayanagar,5 BHK,Society E,1663,4,2,9348.36
Plot  Area,Ready To Move,HSR Layout,3 BHK,Society B,1659,5,0,13230.47
Carpet  Area,Under Construction,Whitefield,2 Bedroom,Society E,1419,2,1,9453.5
Super built-up  Area,Ready To Move,Indira Nagar,1 BHK,Society E,690,3,1,4956.65
Built-up  Area,Ready To Move,Electronic City,2 BHK,Society D,1315,5,3,5577.0
Super built-up  Area,Ready To Move,Koramangala,3 Bedroom,Society E,1476,1,1,14422.69
Carpet  Area,Ready To Move,Jayanagar,1 Bedroom,Society D,1142,1,2,6942.65
Built-up  Area,Under Construction,Jayanagar,2 Bedroom,Society C,1571,5,3,8910.53
Super built-up  Area,Immediate Possession,Koramangala,2 Bedroom,Society D,1190,4,1,10891.82
Built-up  Area,Immediate Possession,HSR Layout,2 Bedroom,Society B,1359,1,3,6701.2
Super built-up  Area,Ready To Move,Whitefield,2 Bedroom,Society D,1307,2,1,6338.69
Built-up  Area,Under Construction,Jayanagar,1 Bedroom,Society A,1412,4,2,10643.87
Built-up  Area,Immediate Possession,Electronic City,1 BHK,Society E,1449,3,0,5955.2
Built-up  Area,Ready To Move,Jayanagar,3 BHK,Society E,1728,2,2,10779.48
Plot  Area,Immediate Possession,BTM Layout,5 BHK,Society D,1178,1,1,5208.32
Super built-up  Area,Under Construction,Electronic City,2 Bedroom,Society E,1112,4,0,5274.6
Carpet  Area,Immediate Possession,HSR Layout,5 BHK,Society E,1053,2,1,5444.44
Carpet  Area,Immediate Possession,BTM Layout,3 BHK,Society D,1403,1,2,10301.48
Built-up  Area,Ready To Move,Marathahalli,5 BHK,Society A,1576,4,2,8091.66
Plot  Area,Under Construction,Koramangala,1 BHK,Society D,677,3,3,5139.29
Plot  Area,Immediate Possession,BTM Layout,2 Bedroom,Society E,1133,3,3,7048.58
Carpet  Area,Under Construction,BTM Layout,4 Bedroom,Society D,1583,4,1,6851.86
Carpet  Area,Under Construction,BTM Layout,5 Bedroom,Society C,1052,2,1,6408.67
Super built-up  Area,Ready To Move,Marathahalli,3 Bedroom,Society B,1677,2,0,9086.39
Built-up  Area,Under Construction,Indira Nagar,4 Bedroom,Society B,1754,5,0,9437.26
Super built-up  Area,Immediate Possession,Marathahalli,4 BHK,Society C,935,4,2,4096.76
Plot  Area,Immediate Possession,BTM Layout,4 BHK,Society B,1393,1,2,8714.06
Plot  Area,Under Construction,HSR Layout,1 Bedroom,Society C,737,2,3,5893.48
Super built-up  Area,Ready To Move,BTM Layout,3 Bedroom,Society B,1432,3,3,6065.4
Carpet  Area,Ready To Move,BTM Layout,5 BHK,Society C,1574,3,2,11524.61
Super built-up  Area,Immediate Possession,Jayanagar,3 Bedroom,Society D,1412,3,0,11002.89
Built-up  Area,Under Construction,Koramangala,2 BHK,Society D,754,2,0,7790.51
Built-up  Area,Immediate Possession,BTM Layout,4 Bedroom,Society B,1336,2,2,9235.46
Super built-up  Area,Immediate Possession,Marathahalli,2 BHK,Society A,1324,4,1,8069.25
Built-up  Area,Ready To Move,Jayanagar,2 BHK,Society E,998,1,2,5384.69
Plot  Area,Immediate Possession,Whitefield,3 BHK,Society B,1723,5,0,8633.47
Built-up  Area,Immediate Possession,HSR Layout,4 Bedroom,Society B,1761,5,1,12345.31
Built-up  Area,Ready To Move,Koramangala,5 Bedroom,Society C,1030,5,2,8895.87
Super built-up  Area,Immediate Possession,Marathahalli,5 Bedroom,Society E,1450,1,3,5120.83
Super built-up  Area,Ready To Move,Electronic City,5 Bedroom,Society C,1001,5,0,3847.64
Carpet  Area,Under Construction,Jayanagar,1 BHK,Society A,1368,5,0,7893.19
Carpet  Area,Under Construction,Koramangala,5 Bedroom,Society C,1685,1,0,14526.22
Carpet  Area,Ready To Move,Whitefield,2 Bedroom,Society B,1637,1,3,9000.31
Carpet  Area,Under Construction,Jayanagar,4 Bedroom,Society D,1113,2,3,7674.01
Plot  Area,Ready To Move,Indira Nagar,5 Bedroom,Society D,1903,4,1,15188.19
Built-up  Area,Under Construction,Koramangala,3 BHK,Society D,1156,3,0,9730.5
Super built-up  Area,Immediate Possession,Jayanagar,2 Bedroom,Society C,845,2,2,4301.25
Carpet  Area,Under Construction,Indira Nagar,1 BHK,Society E,898,2,2,4875.56
Super built-up  Area,Immediate Possession,Jayanagar,2 BHK,Society E,1171,4,3,7182.73
Carpet  Area,Under Construction,BTM Layout,1 Bedroom,Society A,1470,1,3,6273.38
Built-up  Area,Immediate Possession,Koramangala,5 Bedroom,Society E,1651,3,0,14523.71
Built-up  Area,Under Construction,Koramangala,1 BHK,Society A,1053,3,3,6443.53
